id,gender,description,season,masterCategory,subCategory,simplifiedColour,sleeve_type,neck_type
4987,Women,"CompositionWhite floral print dress made 60s cambric, smocking chest, elasticated ruffle straps, ruffled edges around armhole ruffles hemline, white fabric lining floral print pantiesFittingRegular Chest - 30 cm (24-30 months)Wash care Machine wash separately cold water Use mild detergent Do not bleach Avoid soaking Remove promptly Line dry inside out shade Warm iron only Do not iron directly print/embroidery Get ready indulge your little girl spirit spring this white floral print dress gini jony. pink flowers soft white background makes this dress very sweet girly. Team this comfy crocs footwear happy, casual outing her small buddies, while soft fabric stays soft her skin keeps her fresh comfortable all day.",Summer,Apparel,Dress,White,short sleeve,boat neck
4988,Women,"CompositionWhite polka dot dress made 60s cambric, three tiered flares, attached pink ribbon belt bow chest, elasticated straps, white fabric lining polka dot pantiesFittingRegular Chest - 30 cm (24-30 months)Wash care Machine wash separately cold water Use mild detergent Do not bleach Avoid soaking Remove promptly Line dry inside out shade Warm iron only Do not iron directly print/embroidery Get ready indulge your little girl spirit spring this white polka dot dress gini jony. pink dots soft white background gives this dress good dose happiness. Team this comfy crocs footwear happy, casual outing her small buddies, while soft fabric stays soft her skin keeps her fresh comfortable all day.",Summer,Apparel,Dress,White,short sleeve,boat neck
4991,Women,"CompositionOff-white polka dot dress made 60s cambric, floral design hemline, attached pink belt bow under chest embroidered brand name, pink attached sash back, slightly gathered straps white fabric lining FittingRegular Chest - 32 cm Wash care Machine wash separately cold water Use mild detergent Do not bleach Avoid soaking Remove promptly Line dry inside out shade Warm iron only Do not iron directly print/embroidery Get ready indulge your little girl spirit spring this white polka dot dress gini jony. pink dots soft white background explosion flowers hemline - all add up give this dress good dose spring time happiness. Team this comfy crocs footwear happy, casual outing her small buddies, while soft fabric stays soft her skin keeps her fresh comfortable all day.",Summer,Apparel,Dress,White,short sleeve,boat neck
4992,Women,"CompositionPastel yellow polka dot dress made 60s cambric, floral design hemline, attached yellow belt bow under chest embroidered brand name, attached yellow sash back, slightly gathered straps white fabric lining FittingRegular Chest - 32 cm Wash care Machine wash separately cold water Use mild detergent Do not bleach Avoid soaking Remove promptly Line dry inside out shade Warm iron only Do not iron directly print/embroidery Get ready indulge your little girl spirit spring this white polka dot dress gini jony. yellow dots soft yellow background explosion flowers hemline - all add up give this dress good dose spring time happiness. Team this comfy crocs footwear happy, casual outing her small buddies, while soft fabric stays soft her skin keeps her fresh comfortable all day.",Summer,Apparel,Dress,Orange/Yellow,short sleeve,round neck
49956,Men,Black knitted three quarter length pants grey red panels sides Two insert pockets sides Luxurious ComfortSoft fabric sides superior comfort shape retention ComfortSoft fabric covered waistband drawstrings stretches easily without pinching Stylish cut sporty design,Summer,Apparel,shirt,Black/Gray,sleeveless,polo
49957,Men,Grey knitted three quarter length pants dark grey white panels sides Two insert pockets sides Luxurious ComfortSoft fabric sides superior comfort shape retention ComfortSoft fabric covered waistband drawstrings stretches easily without pinching Stylish cut sporty design,Winter,Apparel,shirt,Black/Gray,long sleeve,hooded
49958,Men,Black knitted three quarter length pants grey panels white stripes sides Two insert pockets sides Luxurious ComfortSoft fabric sides superior comfort shape retention ComfortSoft fabric covered waistband drawstrings stretches easily without pinching Stylish cut sporty design,Summer,Apparel,shirt,Black/Gray,short sleeve,round neck
49959,Men,Red knitted three quarter length pants blue panels grey stripes sides Two insert pockets sides Luxurious ComfortSoft fabric sides superior comfort shape retention ComfortSoft fabric covered waistband drawstrings stretches easily without pinching Stylish cut sporty design,Summer,Apparel,shirt,Red,sleeveless,round neck
49962,Men,"Combo pack three white crew T-shirts Luxurious ComfortSoft fabric superior comfort Lay flat cotton/elastane collar that does not stretch out shape, wash after wash",Summer,Apparel,Topwear,White,short sleeve,round neck
49963,Men,"Pack three black T-shirtsBlack T-shirt round neck, short sleeves brand label at side",Summer,Apparel,Topwear,Black/Gray,sleeveless,round neck
49964,Men,"Combo pack three grey crew T-shirts Luxurious ComfortSoft combed cotton fabric superior comfort Lay flat cotton/elastane collar that does not stretch out shape, wash after wash",Summer,Apparel,Topwear,Black/Gray,short sleeve,round neck
49965,Men,"Pack three grey, white blackRound neck T-shirt, short sleeves",Summer,Apparel,Topwear,Black/Gray,short sleeve,round neck
50018,Women,"Black three quarter leggings decorative lace at hem, broad elasticated soft waistband, tagless comfort stretchy Fit",Winter,Apparel,shirt,Black/Gray,long sleeve,collar
50019,Women,"Grey three quarter leggings, broad elasticated, soft waistband stretchy Fit lace detail at hemline",Winter,Apparel,shirt,Black/Gray,long sleeve,hooded
50020,Women,"Navy three quarter length leggings, elasticated waistband brand print below at left front, decorative lace at hem",Winter,Apparel,shirt,Blue,long sleeve,hooded
50022,Women,"Light pink three quarter leggings, broad elasticated, soft waistband stretchy Fit lace detail at hemline",Winter,Apparel,shirt,Black/Gray,long sleeve,collar
50023,Women,"White full length leggings stretchable, elasticated waistband comfortable fit, branding left side below waistband",Winter,Apparel,shirt,White,long sleeve,collar
50024,Women,"Black full length leggings stretchable, elasticated waistband comfortable Fit, branding left side below waistband Comes black snug fit hipster brief front back coverage",Winter,Apparel,shirt,Black/Gray,long sleeve,collar
